true_class_id,class_name,selected_images,mean_confidence,minimum_confidence,maximum_confidence
127,127.Savannah_Sparrow,2,0.5124307572841644,0.4629642367362976,0.5618972778320312
128,128.Seaside_Sparrow,2,0.39077683910727495,0.109829656779766,0.6717240214347839
129,129.Song_Sparrow,2,0.8840278089046478,0.8685764670372009,0.8994791507720947
130,130.Tree_Sparrow,2,0.4939168244600296,0.2497168481349945,0.7381168007850647
131,131.Vesper_Sparrow,3,0.8587729732195536,0.7505941987037659,0.9152798056602478
132,132.White_crowned_Sparrow,3,0.7928029497464498,0.6550840139389038,0.8766558766365051
133,133.White_throated_Sparrow,3,0.8928562998771667,0.8500174283981323,0.9296144247055054
134,134.Cape_Glossy_Starling,3,0.9308594663937887,0.9182248115539552,0.9398189783096312
135,135.Bank_Swallow,2,0.8251783847808838,0.6950054168701172,0.9553513526916504
136,136.Barn_Swallow,2,0.834083616733551,0.7375060319900513,0.9306612014770508
137,137.Cliff_Swallow,2,0.41236627101898193,0.2541921138763428,0.5705404281616211
138,138.Tree_Swallow,3,0.7478898366292318,0.6299673318862915,0.9286413788795472
139,139.Scarlet_Tanager,3,0.9297537008921305,0.8887472748756409,0.9564256072044371
140,140.Summer_Tanager,3,0.61784328520298,0.1777261346578598,0.8498722314834595
141,141.Artic_Tern,2,0.647759422659874,0.370670348405838,0.92484849691391
142,142.Black_Tern,2,0.7155619114637375,0.4784965813159942,0.9526272416114808
143,143.Caspian_Tern,2,0.7254626154899597,0.574691116809845,0.8762341141700745
144,144.Common_Tern,2,0.4097607880830765,0.4084627330303192,0.4110588431358337
145,145.Elegant_Tern,2,0.4112156629562378,0.2337636351585388,0.5886676907539368
146,146.Forsters_Tern,2,0.7556755244731903,0.7370498776435852,0.7743011713027954
147,147.Least_Tern,2,0.8954388201236725,0.8833214640617371,0.907556176185608
148,148.Green_tailed_Towhee,3,0.8432881832122803,0.7140218615531921,0.9269579648971558
149,149.Brown_Thrasher,3,0.6548555692036947,0.5068687796592712,0.886593759059906
150,150.Sage_Thrasher,3,0.8214707175890604,0.771507740020752,0.8623179197311401
151,151.Black_capped_Vireo,2,0.9292279183864594,0.9179120063781738,0.9405438303947448
152,152.Blue_headed_Vireo,2,0.8059883117675781,0.6633179783821106,0.9486586451530457
153,153.Philadelphia_Vireo,2,0.7359346449375153,0.6179632544517517,0.8539060354232788
154,154.Red_eyed_Vireo,3,0.6593565344810486,0.5367343425750732,0.8930290937423706
155,155.Warbling_Vireo,2,0.9051237106323242,0.8962827920913696,0.9139646291732788
156,156.White_eyed_Vireo,3,0.881138543287913,0.7754613757133484,0.9363496899604796
157,157.Yellow_throated_Vireo,2,0.41311801970005035,0.2971543371677398,0.5290817022323608
